oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Benefon,Vega,1999,Discontinued,145 x 56 x 23 mm (5.71 x 2.20 x 0.91 in),190.0,Mini-SIM,Monochrome graphic,,6 lines,V1,
Garmin-Asus,nuvifone M10,2010,Discontinued,,0.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",3.5,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Accelerometer,Microsoft Windows Mobile 6.5.3 Professional
Gigabyte,GSmart G1305 Boston,2010,Discontinued,116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in),118.0,Mini-SIM,"TFT capacitive touchscreen, 256K colors",3.2,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Accelerometer,Android 1.6 (Donut)
Gigabyte,GSmart,,Cancelled,103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in),0.0,Mini-SIM,"TFT capacitive touchscreen, 256K colors",2.8,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Accelerometer,Android 1.6 (Donut)
Google,Pixel 4 XL,2019,2019,160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193.0,Nano-SIM card & eSIM,"P-OLED capacitive touchscreen, 16M colors",6.3,"1440 x 3040 pixels, 19:9 ratio (~537 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer",Android 10
Google,Pixel 4,2019,2019,147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162.0,Nano-SIM card & eSIM,"P-OLED capacitive touchscreen, 16M colors",5.7,"1080 x 2280 pixels, 19:9 ratio (~444 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer",Android 10
Google,Pixel 3a XL,2019,2019,160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167.0,"Nano-SIM, eSIM","OLED capacitive touchscreen, 16M colors",6.0,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Android 9.0 (Pie)
Google,Pixel 3a,2019,2019,151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147.0,Nano-SIM,"OLED capacitive touchscreen, 16M colors",5.6,"1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Android 9.0 (Pie)
Haier,N60,2005,Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),131.0,Mini-SIM,"TFT resistive touchscreen, 256K colors",,"320 x 240 pixels, 4:3 ratio",V1,Linux
Haier,T3000,2005,Discontinued,85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in),85.0,Mini-SIM,65K colors,,128 x 160 pixels,V1,
